Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Validation Rules,Dependencies,Known Assumptions,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date,Source Evidence
UI-001,Title / Continue,"As a returning coach, I want to resume or start a career so I can enter the coaching world.","Load the primary save or backup; show recovery controls on load failure; offer new career setup and settings; do not silently create a new world when a save exists.","No save; corrupt primary; valid backup; future schema; retry; cancel setup.","Save envelope markers and schema are validated before decode; recovery actions remain explicit.","CoachWorldAppRootView; SaveCoordinator; TitleContinueView; SettingsAccessibilityView","A valid local save is the only source of an existing career.","T-UI-001-H restore; T-UI-001-E corrupt/future save; T-UI-001-A VoiceOver and AX5.","Implemented; unit and contract covered; live simulator unverified",0,Medium,"Entry is routed from the shipped app root; no network or account dependency.",2026-08-19,"App/ProFootballCoachApp.swift; Sources/CoachWorldApp/CoachWorldAppRootView.swift; SaveDocumentTests.swift"
UI-002,New Career & Coach Identity,"As a new player, I want to choose my coach identity, seed, and starting job so I can begin a deterministic career.","Generate eligible starting jobs for the selected seed; accept bounded names and a programme ID; build and persist a new career; surface generation or stale-selection errors.","Blank names; whitespace; names over 24 characters; stale programme ID; no eligible jobs; rapid seed changes; duplicate start taps.","Trim names and cap each at 24 characters; require a UUID programme ID; ignore stale job requests; block duplicate starts.","CoachWorldStore.newCareer; startingJobs; NewCareerCoachIdentityView; SaveCoordinator","Starting jobs are deterministic and generated off the main actor.","T-UI-002-H valid identity; T-UI-002-I stale programme; T-UI-002-B empty/long names; T-UI-002-C repeated taps.","Implemented; provider and save paths covered; live form unverified",0,Medium,"The form is a trust boundary for user input and must be manually checked at AX5.",2026-08-19,"CoachWorldStore.swift; NewCareerCoachIdentityView.swift; Career session and save suite"
UI-003,Job Board,"As a coach seeking work, I want to inspect available jobs so I can choose my next appointment.","Render career opportunities and route job-board actions to the composite Career Hub.","No opportunities; stale opportunity; resigned career; no career model.","Only opportunities present in the Career Hub model can be accepted.","CareerHubReadModel; JobBoardView; CoachWorldAppRootView career focus","Job Board is a legacy alias, not a separate persistent screen.","T-UI-003-H inspect and accept; T-UI-003-E stale/no opportunity; T-UI-003-N alias navigation.","Implemented as alias to Career Hub; live journey unverified",0,Medium,"Registry ID 3 resolves to screen 52.",2026-08-19,"ScreenRegistry.swift; CoachWorldAppRootView.swift; CareerArcTests.swift"
UI-004,Offer,"As a coach with an opportunity, I want to review and accept or decline it with a clear consequence.","Show the selected opportunity through Career Hub focus and allow accept or resignation actions.","Opportunity disappears; accept twice; decline/resign; no current job.","Stable opportunity IDs are parsed and revalidated by the store/session.","CareerHubReadModel; CareerHubView; CoachWorldStore.acceptCareerOpportunity","Offer is a legacy alias and uses the same model as Career Hub.","T-UI-004-H accept; T-UI-004-E stale ID; T-UI-004-C repeated action.","Implemented as alias to Career Hub; live journey unverified",0,Medium,"No separate Offer persistence model exists.",2026-08-19,"ScreenRegistry.swift; CoachWorldStore.swift; CareerHubView.swift"
UI-005,Appointment,"As an appointed coach, I want to see the appointment outcome so I know where my career now stands.","Resolve Appointment through Career Hub focus and show the accepted current job or an actionable refusal.","Appointment after resignation; missing career; stale saved route.","Career control authority validates the appointment transition.","CareerSession; CareerControlSystem; CareerHubReadModel","Appointment is a legacy entry alias.","T-UI-005-H accepted appointment; T-UI-005-E invalid transition; T-UI-005-R restore route.","Implemented as alias to Career Hub; live journey unverified",0,Medium,"Registry ID 5 resolves to Career Hub for new presentation routes.",2026-08-19,"ScreenRegistry.swift; CoachWorldAppRootView.swift; CareerControlTests.swift"
UI-006,Settings & Accessibility,"As a player using assistive technology, I want settings and accessibility controls available before and during a career.","Open settings from title and career navigation; close back to title or HQ; keep the dark palette and accessibility contracts.","Open before save; open after restore; close from entry; AX5; VoiceOver; reduce motion.","The surface is always included in available screens; controls have minimum targets and labels through shared contracts.","SettingsAccessibilityView; ScreenRegistry; CoachWorldFloodlitComposition","Floodlit is dark-only; iPhone landscape is the supported orientation.","T-UI-006-H entry and in-career access; T-UI-006-A VoiceOver/AX5/reduce motion; T-UI-006-N back route.","Implemented; contract lane passed; live interaction unverified",0,Medium,"Prior critique found in-career reachability risk; current code statically includes settings but needs device confirmation.",2026-08-19,"SettingsAccessibilityView.swift; ScreenRegistry.swift; AccessibilityReflowTests.swift; MotionContractTests.swift"
UI-007,World Search,"As a coach, I want to search the fictional football world so I can inspect programmes and teams.","Provide a bounded search/read model of fictional identities and route team selection to a team profile.","Empty query; no matches; duplicate names; selected team removed; long result lists.","Results are derived from map and organisation IDs; selection must resolve to an existing organisation.","CoachWorldTeamProfileProvider; WorldSearchView; TeamProgrammeProfileView","All identities are fictional and generated deterministically.","T-UI-007-H search/select; T-UI-007-E empty/no match; T-UI-007-L long results; T-UI-007-Legal fictional-name scan.","Implemented; provider and legal suites covered; live journey unverified",0,Medium,"No network search is expected.",2026-08-19,"CoachWorldTeamProfileProvider.swift; WorldSearchView.swift; LegalTests.swift"
UI-008,Coaching HQ,"As a head coach, I want a weekly command hub showing obligations, evidence, and the next action so I can run the season.","Show the authoritative week, team, opponent, decisions, correspondence, preparation state, and actions to commit, delegate, inspect film, prepare, and advance.","No opponent; pending decision; missing plans; delegated responsibility; save failure; no inbox item.","Only intents in the read model are accepted; advance is refused until required plans exist; refusal copy is player-facing.","CoachWorldStore; CoachWorldReadModelProvider; CoachingHQView; CareerSession","The read model never invents hidden facts; empty backing data is shown as unavailable.","T-UI-008-H inspect/prepare/advance; T-UI-008-E missing plans; T-UI-008-S stale intent; T-UI-008-A AX5/VoiceOver.","Implemented; full suite and read-model tests passed; live week walkthrough unverified",1,High,"G-05 from prior live critique is a regression risk; current refusal path is covered but the rendered status receipt needs device confirmation.",2026-08-19,"CoachingHQView.swift; CoachWorldStore.swift; ReadModelProviderTests.swift; full suite"
UI-009,Inbox,"As a coach, I want to read correspondence and return to where I came from so I can act on information without losing context.","List retained inbox items; mark items read; persist bounded read receipts; open supported routes; return to the origin route.","Empty inbox; duplicate read; more than receipt cap; stale route; origin roster vs HQ.","Stable IDs are required; read receipts are bounded; origin is encoded in presentation state.","CoachWorldInboxProvider; InboxView; CareerPresentationState; SaveCoordinator","Inbox is local presentation state backed by the save document.","T-UI-009-H open/mark read/return; T-UI-009-E stale item; T-UI-009-B receipt cap; T-UI-009-R save/restore.","Implemented; persistence/read-model tests passed; live journey unverified",0,Medium,"One HQ callback intentionally does not open correspondence and is a coverage gap to verify.",2026-08-19,"InboxView.swift; CoachWorldStore.markInboxItemRead; SaveDocumentTests.swift"
UI-010,Opponent Report / Film Room,"As a coach, I want observer-scoped opponent evidence so I can prepare without seeing hidden truth.","Open retained tactical observations, show sample size/confidence/rates, and refuse when no current observation exists.","No opponent; stale observation; zero samples; unavailable scout; open from match day vs HQ.","Only observations keyed to the controlled observer/opponent/calendar are displayed; no current truth is substituted.","CoachWorldStore.inspectOpponentFilm; OpponentFilmReadModel; OpponentReportFilmRoomView","Scouting knowledge is distinct from hidden simulation truth.","T-UI-010-H inspect/open; T-UI-010-E missing/stale evidence; T-UI-010-P privacy of hidden values.","Implemented; provider path covered; live observation display unverified",0,Medium,"Film is intentionally limited to scouting, tactics, and replay.",2026-08-19,"CoachWorldStore.swift; OpponentReportFilmRoomView.swift; TacticalStateTests.swift"
